name,email,video,group,phrase,impactful,implicit,obvious,inefficient
None,None,desk,Group 1a,access to under the desk (had to move the chair),Agree,Strongly disagree,Strongly agree,Agree
None,None,desk,Group 1a,Easy movement of large objects such as computer tower,Agree,Strongly agree,Disagree,Disagree
None,None,desk,Group 1a,ergonomic keyboard,Agree,Agree,Disagree,Disagree
booker,booker@mit.edu,desk,Group 1a,access to under the desk (had to move the chair),Agree,Strongly agree,Strongly agree,Strongly agree
None,None,desk,Group 1a,access to under the desk (had to move the chair),Disagree,Disagree,Strongly agree,Strongly disagree
None,None,desk,Group 1a,access to under the desk (had to move the chair),Strongly disagree,Strongly agree,Strongly agree,Strongly agree
Booker,booker@mit.edu,desk,Group 1a,access to under the desk (had to move the chair),Strongly agree,Strongly agree,Strongly agree,Strongly agree
None,None,desk,Group 1a,access to under the desk (had to move the chair),Agree,Strongly agree,Strongly disagree,Strongly agree
None,None,desk,Group 1a,access to under the desk (had to move the chair),Agree,Strongly agree,Strongly disagree,Strongly agree
None,None,desk,Group 1a,Easy movement of large objects such as computer tower,Disagree,Disagree,Disagree,Disagree
b,@,desk,Group 1a,access to under the desk (had to move the chair),Strongly agree,Strongly agree,Strongly agree,Strongly agree
b,@,desk,Group 1a,Easy movement of large objects such as computer tower,Disagree,Disagree,Agree,Agree
booker,booker@mit.edu,desk,Group 1a,access to under the desk (had to move the chair),Strongly agree,Strongly agree,Strongly agree,Strongly agree
booker,booker@mit.edu,desk,Group 1a,Easy movement of large objects such as computer tower,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
booker,booker@mit.edu,desk,Group 1a,access to under the desk (had to move the chair),Strongly agree,Strongly agree,Strongly agree,Strongly agree
booker,booker@mit.edu,desk,Group 1a,Easy movement of large objects such as computer tower,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
booker,booker@mit.edu,desk,Group 1a,ergonomic keyboard,Agree,Agree,Agree,Agree
booker,booker@mit.edu,desk,Group 1a,Best order to assemble desk;,Disagree,Disagree,Disagree,Disagree
